Folder,Filename,Project Name,Before or After?,Keywords (separate with semicolons),Notes
,,,,,"HOW TO USE THIS SHEET: Fill in the Keywords column for each photo. Use semicolons to separate words (example: pergola; fire pit; stone patio). For the Projects folder, also fill in the Project Name column with the street name. For Before/After photos, type Before or After in that column so we can pair them up."
,,,,,,
hardscapes,Back-Yard-Pathways-River-Birch.jpg,,,backyard; pathway; walkway; river birch; stepping stones,
hardscapes,Flagstone-Patio.jpg,,,flagstone; patio; stone; outdoor living,
hardscapes,Flagstone-Stepping-Stones.jpg,,,flagstone; stepping stones; pathway; walkway; stone,
hardscapes,Planter-Boxes.jpg,,,planter boxes; raised bed; hardscape; planters,
hardscapes,Rock-Boulders-Lantana-Pink-Muhley-Grasses-Patio.jpg,,,boulders; rock; lantana; muhly grass; ornamental grass; patio,
hardscapes,Rock-Retaining-Wall.jpg,,,retaining wall; rock; stone wall; hardscape,
hardscapes,Stamped-and-Stained-Concrete-Patio.jpg,,,stamped concrete; stained concrete; patio; concrete,
hardscapes,Stucco-Retaining-Wall.jpg,,,stucco; retaining wall; hardscape; stone wall,
,,,,,,
landscaping,Amaranth-Cocks-Comb-Liriope.jpg,,,amaranth; cockscomb; liriope; flowers; seasonal color,
landscaping,Anthony-Waters-Spirea-Crepe-Myrtles-Lantana.jpg,,,spirea; crepe myrtle; lantana; flowering shrubs; landscape design,
landscaping,Blue-Salvia-Seasonal-Color-Native-Grasses.jpg,,,blue salvia; seasonal color; native grasses; ornamental grass; flowers,
landscaping,Colorful-Landscape.jpg,,,colorful; seasonal color; flowers; landscape design,
landscaping,Flowering-Kale-Liriope-Dwarf-Yupon-Nandinas.jpg,,,flowering kale; liriope; dwarf yaupon; nandina; shrubs; color,
landscaping,Front-Yard-Landscape-Design.jpg,,,front yard; landscape design; curb appeal; lawn,
landscaping,Juniper-Japanese-Maple-Japanese-Yew-Blue-Rug-Juniper.jpg,,,juniper; japanese maple; yew; blue rug juniper; shrubs,
landscaping,Knock-Out-Roses-Cana.jpg,,,knockout roses; canna; flowers; color; roses,
landscaping,Lush-Green-Lawn.jpg,,,lawn; green; grass; turf; lush,
landscaping,Palm-Trees-Banana-Trees-Yuccas.jpg,,,palm tree; banana tree; yucca; tropical; landscaping,
landscaping,Pentas-and-Grasses-Sandstone-Boulder.jpg,,,pentas; ornamental grass; sandstone; boulder; flowers; rock,
landscaping,Potato-Vine-Knock-Out-Roses-Japanese-Yard-Art.jpg,,,potato vine; knockout roses; yard art; flowers; color,
landscaping,Potted-Plants-Cactus-Flower-Softleaf-Yuccas.jpg,,,potted plants; cactus; yucca; containers; flowering pots,
landscaping,Seasonal-Color-Commercial-Landscape-Decorative-Sandstone-Boulder.jpg,,,seasonal color; sandstone; boulder; flowers; commercial landscape,
landscaping,Trailing-Rosemary-Knockout-Roses-Ornamental-Vase.jpg,,,rosemary; knockout roses; ornamental vase; urns; containers,
landscaping,Urn-Juniper-Lambs-Ear-Potted-Plants.jpg,,,urn; juniper; lamb's ear; potted plants; containers,
landscaping,Urns-Potted-Plants.jpg,,,urns; potted plants; containers; planters,
landscaping,Wax-Myrtle-Edging-Color.jpg,,,wax myrtle; edging; seasonal color; flowering shrubs,
landscaping,original_artificial-grass-garden-decor.jpg,,,artificial grass; garden decor; turf,
,,,,,,
lighting,Christmas-Lights.jpg,,,christmas lights; holiday lighting; seasonal; decorative lighting,
lighting,Decorative-Lighting-Installation.jpg,,,decorative lighting; landscape lighting; outdoor lights; installation,
lighting,Landscape-Lighting-Boulders.jpg,,,landscape lighting; boulders; rock; outdoor lights; night lighting,
lighting,Landscape-Lighting.jpg,,,landscape lighting; outdoor lights; night; pathway lighting,
lighting,Winter-Wonderland-of-Lights.jpg,,,holiday lighting; christmas lights; winter wonderland; decorative lighting,
,,,,,,
maintenance,Before-Dry-Creek.jpg,,Before,dry creek; drainage; lawn; yard,Before shot — pair with an After shot from this folder
maintenance,Dry-Creek-bed.jpg,,,dry creek bed; drainage; rock; river rock; creek,
maintenance,Dry-River-Rock-Bed-with-Native-Grasses.jpg,,,dry river rock; creek bed; native grasses; drainage; rock,
maintenance,Dry-creek.jpg,,,dry creek; drainage; rock; river rock,
maintenance,French-Drain.jpg,,,french drain; drainage; yard drainage; water management,
maintenance,Irrigation-Sage-Rosemary-Grey-Santolina-Knock-Out-Roses.jpg,,,irrigation; sage; rosemary; santolina; knockout roses; sprinkler,
maintenance,Low-Maintenance-Landscape.jpg,,,low maintenance; landscape; lawn; clean; simple,
maintenance,Shrub-Trimming-Monkey-Grasses.jpg,,,shrub trimming; monkey grass; liriope; pruning; maintenance,
maintenance,scalping.jpg,,,scalping; lawn; grass; maintenance; mowing,
maintenance,too-much.jpg,,,mulch; over-mulching; maintenance,Blog image — confirm if this should appear in the gallery
maintenance,waterway_drainage_water_foliage_path-9202.jpg,,,waterway; drainage; foliage; path; water management,
,,,,,,
outdoor-living,Back-Patio-Pergola.jpg,,,pergola; back patio; patio; outdoor living,
outdoor-living,Colonial-Column-Patio-Pergola-Patio-Furniture.jpg,,,pergola; colonial columns; patio furniture; outdoor seating; patio,
outdoor-living,Flagstone-Pathway-Pergola-Gazebo.jpg,,,flagstone; pathway; pergola; gazebo; stone,
outdoor-living,Flagstone-Pathway-Pergola.jpg,,,flagstone; pathway; pergola; stone,
outdoor-living,Outdoor-Kitchen-and-Grill.jpg,,,outdoor kitchen; grill; BBQ; cooking; outdoor living,
outdoor-living,Outdoor-Living-Fire-Pit-with-Stump-Chairs.jpg,,,fire pit; outdoor living; seating; chairs; bonfire,
outdoor-living,Pool-House.jpg,,,pool house; swimming pool; outdoor living; cabana,
outdoor-living,Red-Cedar-Frame-Pergola.jpg,,,pergola; cedar; wood; outdoor living; red cedar,
outdoor-living,Simple-Pergola-Seating-Dog-Park.jpg,,,pergola; seating; simple; outdoor living,
